cng_(Feet),DISTANCE_FROM_MOUTH,ELEVATION,ADJUSTED_ELEVATION,LONGITUDE,LATITUDE
1744,55050.14340,403.49,402.38,-82.120702,33.473331
1748,55046.14340,402.34,402.34,-82.120689,33.473335
1752,55042.14340,402.34,402.34,-82.120677,33.473338
1756,55038.14340,401.48,401.48,-82.120664,33.473341
1760,55034.14340,400.43,400.43,-82.120652,33.473344
1764,55030.14340,400.38,400.38,-82.120639,33.473347
1768,55026.14340,400.43,400.38,-82.120626,33.47335
1772,55022.14340,401.00,400.35,-82.120614,33.473353
1776,55018.14340,400.87,400.32,-82.120601,33.473356
1780,55014.14340,400.29,400.29,-82.120588,33.473359
1784,55010.14340,400.41,400.29,-82.120576,33.473362
1788,55006.14340,401.78,400.28,-82.120563,33.473365
1792,55002.14340,401.14,400.27,-82.12055,33.473368
1796,54998.14340,401.04,400.25,-82.120538,33.47337
1800,54994.14340,400.84,400.24,-82.120526,33.473375
1804,54990.14340,400.84,400.23,-82.120515,33.473381
1808,54986.14340,400.56,400.22,-82.120504,33.473387
1812,54982.14340,400.36,400.20,-82.120493,33.473393
1816,54978.14340,400.53,400.19,-82.120482,33.473399
1820,54974.14340,400.71,400.18,-82.120469,33.4734
1824,54970.14340,400.78,400.17,-82.120456,33.473401
1828,54966.14340,400.78,400.15,-82.120443,33.473403
1832,54962.14340,400.38,400.14,-82.12043,33.473404
1836,54958.14340,400.13,400.13,-82.120417,33.473405
1840,54954.14340,399.97,399.97,-82.120404,33.473406
1844,54950.14340,399.50,399.50,-82.120391,33.473408
1848,54946.14340,400.06,399.50,-82.120378,33.473408
1852,54942.14340,402.39,399.32,-82.120365,33.473406
1856,54938.14340,404.01,399.13,-82.120352,33.473405
1860,54934.14340,404.54,398.95,-82.120339,33.473403
1864,54930.14340,404.54,398.76,-82.120326,33.473403
1868,54926.14340,404.56,398.58,-82.120316,33.473409
1872,54922.14340,404.56,398.40,-82.120305,33.473414
1876,54918.14340,404.42,398.21,-82.120292,33.473414
1880,54914.14340,404.31,398.03,-82.12028,33.473417
1884,54910.14340,404.03,397.84,-82.120271,33.473425
1888,54906.14340,402.99,397.66,-82.120258,33.473425
1892,54902.14340,400.72,397.47,-82.120245,33.473425
